High-level Pattern,Sub pattern,Description,Example,Optimized Metrics,Detection
Loop Transformations,Loop Invariant Branches,Branches inside loops make it difficult for compilers to perform optimizations. Move invariant branches outside of loop whenever possible.,"Narrative:
Invariant branches in the code before optimization made it difficult for the compiler to perform optimizations. In the optimized version, the code was restructured by first removing the invariant branches from inside the main loop and then placing loops inside the branches.

Code Before Optimization:
void BlendBitMap(BYTE Dest[], BYTE Src1[], BYTE Src2[], int size, BYTE blend)
{
    int i;
    for (i=0; i<size; i++) {
        if (blend == 255)
            Dest[i] = Src1[i];
        else if (blend == 0)
             Dest[i] = Src2[i];
        else
            Dest[i] = (Src1[i] * blend + Src2[i] * (255-blend)) / 256;
    }
}

Code After Optimization:
void BlendBitMap(BYTE Dest[], BYTE Src1[], BYTE Src2[], int size, BYTE blend)
{
    int i ;
    if (blend == 255)
        for (i=0; i<size; i++)
            Dest[i] = Src1[i];
    else if (blend == 0)
        for (i=0; i<size; i++)
            Dest[i] = Src2[i];
    else
        for (i=0; i<size; i++)
            Dest[i] = (Src1[i] * blend + Src2[i] * (255-blend)) / 256;
}
",ILP,"Optimizing compilers apply loop transformations automatically. Only consider if loop transformation has not applied.
If an invariant branch is present within a loop, see if it can be moved out."
I/O and Synchronization,Selection I/O size,Choosing the right amount of data to transfer in each I/O operation to balance initialization costs with data access needs.,Using 128KB I/O instead of 128 x 1KB read to improve throughput.,"Throughput, I/O latency, cache efficiency","Performance profiling, I/O tracing"
I/O and Synchronization,Polling,Continuously checking for an event in a loop can lead to high CPU overhead and latency. Replacing polling with event-driven mechanisms can improve performance and efficiency.,"Replace a custom polling loop with poll(2) syscall to monitor file descriptors in a more efficient, event-driven manner.","CPU usage, event latency","High CPU usage during idle time, delayed event handling, frequent checking loops in code"
I/O and Synchronization,Non-Blocking I/O,"Avoid blocking threads during I/O operations, allowing the application to scale with fewer threads and lower overhead. This reduces context switching and improves CPU efficiency, especially with many concurrent I/O tasks.","Node.js uses non-blocking I/O to serve many clients with few threads. On Linux, techniques include O_ASYNC, io_submit(2), and io_uring_enter(2)","Thread count, context switches, CPU usage, latency","High thread counts, frequent context switching, blocked I/O traces"
I/O and Synchronization,Concurrency Control / Rate Limiting,"Limit the number of concurrent operations (I/O requests, API calls, database queries) to prevent resource exhaustion, connection pool depletion, or triggering rate limits. Use concurrency limiting libraries or semaphores to queue operations and execute them in controlled batches, maintaining system stability while still achieving parallelism.","When fetching user availability for multiple users, the system executed all requests concurrently without limits. With 100+ users, this created hundreds of simultaneous database connections, exhausting the connection pool and causing timeouts. By adding a concurrency limit of 10 using p-limit, the system now processes availability checks in controlled batches, maintaining stable performance while still achieving significant parallelism compared to sequential processing.

Code Before Optimization:
// Unlimited concurrency - spawns 100+ simultaneous operations
const _getUsersAvailability = async ({ users, query, initialData }) => {
  return await Promise.all(
    users.map((user) =>
      _getUserAvailability({
        userId: user.id,
        username: user.username,
        ...query
      })
    )
  );
};

Code After Optimization:
import pLimit from ""p-limit"";

const limit = pLimit(10);  // Max 10 concurrent executions

const _getUsersAvailability = async ({ users, query, initialData }) => {
  return await Promise.all(
    users.map((user) =>
      limit(() =>  // Queue with concurrency control
        _getUserAvailability({
          userId: user.id,
          username: user.username,
          ...query
        })
      )
    )
  );
};","Resource Utilization, Throughput, Latency","Look for Promise.all() or parallel loops processing large arrays with I/O operations, connection pool exhaustion errors, memory spikes during batch operations, or external API rate limit errors when processing multiple items concurrently."
I/O and Synchronization,Concurrency Control / Lock Optimization,"In performance-critical sections, especially benchmarks or latency-sensitive operations, threads can be migrated between CPU cores by the OS scheduler, causing cache invalidation and context switch overhead. CPU affinity (thread pinning) locks a thread to a specific CPU core, ensuring cache locality, eliminating migration overhead, and providing consistent execution characteristics. This is particularly valuable for real-time systems, low-latency applications, and accurate performance measurements.","In performance-critical sections, especially benchmarks or latency-sensitive operations, threads can be migrated between CPU cores by the OS scheduler, causing cache invalidation and context switch overhead. CPU affinity (thread pinning) locks a thread to a specific CPU core, ensuring cache locality, eliminating migration overhead, and providing consistent execution characteristics. This is particularly valuable for real-time systems, low-latency applications, and accurate performance measurements.

Code before optimization:
// Benchmark without CPU affinity - thread can migrate between cores
for (int i = 0; i < iterations; i++) {
    long start = System.nanoTime();
    // Perform operation
    wire.clear();
    n.writeMarshallable(wire);
    long end = System.nanoTime();
    writeHist.sample(end - start);
    
    Thread.yield();  // Voluntarily gives up CPU, causes scheduling overhead
}

Code after optimization:
// Pin thread to specific CPU core for entire benchmark
try (AffinityLock lock = AffinityLock.acquireLock()) {
    // Thread is now pinned to a CPU core
    
    // Optional: wait for GC to complete before benchmark
    GcControls.waitForGcCycle();
    
    for (int i = 0; i < iterations; i++) {
        long start = System.nanoTime();
        // Perform operation - cache stays hot on same core
        wire.clear();
        n.writeMarshallable(wire);
        long end = System.nanoTime();
        writeHist.sample(end - start);
        
        // No Thread.yield() - continuous execution on same core
    }
}  // AffinityLock automatically released","Latency Variance, Cache Miss Rate, Throughput, P99 Latency","Look for performance-critical loops or benchmarks with high timing variance, thread migration visible in profiling tools (e.g., perf stat showing context switches), benchmark code without CPU affinity controls, or latency-sensitive real-time operations that could benefit from predictable execution on a dedicated core."
I/O and Synchronization,Streaming Implementation Or Optimization),"Refers to processing large datasets incrementally rather than loading everything into memory at once. Data is consumed in small chunks (buffers), processed as it arrives, and discarded when no longer needed. This approach reduces memory usage and allows handling arbitrarily large inputs.","Before:
def process_file_no_streaming(path):
    data = open(path, ""rb"").read()   # full file in RAM
    result = data.upper()            # process all at the same time
    return result

After:
def process_file_streaming(path, chunk_size=4096):
    with open(path, ""rb"") as f:
        for chunk in iter(lambda: f.read(chunk_size), b""""):
            process_chunk(chunk)

def process_chunk(chunk):
    # ejemplo trivial
    print(""processing"", len(chunk), ""bytes"")
",Memory Utilization,Look for large dynamic memory segments that are processed using chucks
Data Structure Selection and Adaptation,Choose Data Structure for Energy Efficiency,"Selection between dynamic memory allocation techniques can impact energy use, especially for large datasets.","Narrative:
In C++, new/delete vs malloc/free: malloc is more energy-efficient for large inputs. For small inputs, static arrays can outperform heap-allocated structures in both C and C++.",Energy Consumption (J),Identify large dynamic memory usage patterns.
Data Structure Selection and Adaptation,Darwinian Data Structure Selection,"Given a common interface, experiment with multiple data structure implementations. Choose the concrete type that best alligns with the target algorithm's access patterns. ","Narrative:
The function frequently inserts elements to the end of the list. To optimize insertion performance, LinkedList was chosen over ArrayList due to its O(1) insertion time, compared to ArrayLists O(n) insertion time.

Code Before Optimization:
List getAsList(T value) {
    if (value == null)
        return null; 4
    List result = new ArrayList();
    result.add(value);
    return result;
}

Code After Optimization:
List getAsList(T value) {
    if (value == null)
        return null; 4
    List result = new LinkedList();
    result.add(value);
    return result;
}
","Execution time, CPU Usage, Memory",Analyze source code for data structure access patterns. Consider all implementations of the common ADT and determine which is best suited for the access patterns.
Data Structure Selection and Adaptation,"Choose more energy-efficient data structure across Java Collections Framework, Apache Common Collections, and Eclipse Collections.","Results show that collections ArrayList, HashMap, and HashTable are not energy-efficient. It is never OK to replace thread-safe collections with thread-unsafe collections. Occurrences of data operations inside of loops should be looked at closely.","Narrative:
Most frequent recommendations for desktop environment include replacing: Java Collections HashMap with Apache Common Collections HashedMap; Java Collections ArrayList with Eclipse Collection FastList; Java Collections Hashtable with Java Collections ConcurrentHashMap; and, Java Collections HashSet with Eclipse Collections UnifiedSet.",Energy consumption,"Look for areas in code with high energy costs, especially in loops. See if an energy-ineffecient collection is in use. If so, consider replacing with an energy-efficient implementation."
Data Structure Selection and Adaptation,Choose energy-efficient data structure by method calls,"Considering the most common method call, choose the data structure with the most energy-efficient method call implementation.","Results show that for the Map interface and methods containsKey, get, put, and values, the Hashtable data structure is the most energy-efficient. For the List interface and methods add, listIterator, addAll, iterator, and remove ArrayList was more energy-efficient than LinkedList. When considering method add (at an index) and iterator, AttributeList was found to be the most optimal. For the Set interface and methods add and iterator, LinkedHashSet was found to be more energy-efficient than TreeSet.",Energy consumption & latency,Look for areas in code where the methods present in example are used in conjuction with an inefficient data structure choice.
Code Smells and Structural Simplification,Remove code bloat by removing optional features,"Optional features tightly coupled with core logic leads to code bloat and additional runtime overhead. Either decouple optional feature from logic, or remove optional feature altogether.","Narrative:
Logging feature tightly coupled with core logic can introduce unnecessary execution overhead when logging concern is not needed. A potential fix is to separate core and logging logic.",Memory usage,Look for statements that invoke optional (not needed) features.
Code Smells and Structural Simplification,Remove Unnecessary Method Calls,Unnecessary method calls introduce additional runtime overhead that can be avoided. Remove the method call to eliminate the runtime overhead.,"Narrative:
A statement is found that invokes an unnecessary method call. To fix, the statement is removed.

Code Before Optimization:
public void process() {
    fetchMetadata();  // Unused result
    doWork();
}

Code After Optimization:
public void process() {
    doWork();
}",Execution time/latency,Look for statements that invoke unnecessary method calls. Method calls where results are unused can be a good indicator.
Code Smells and Structural Simplification,Replace Reflection with Direct Method Calls,"Reflection-based method invocation is significantly slower than direct method calls due to runtime type checking, method lookup, and security validation. When method signatures are known at compile time or can be determined through pattern matching, replace reflection with direct calls or cached delegates.","During MSBuild project evaluation, property functions for ToolLocationHelper were using reflection-based lookups, causing performance bottlenecks. By adding fast-path implementations that detect common method signatures (two string parameters) and invoke methods directly, the expensive reflection mechanism was bypassed, reducing evaluation latency.

Code Before Optimization:
// Reflection-based invocation
MethodInfo method = type.GetMethod(""GetPlatformSDKLocation"");
object result = method.Invoke(null, new object[] { arg1, arg2 });

Code After Optimization:
// Fast-path with direct invocation
if (ParseArgs.TryGetArgs(args, out string arg1, out string arg2))
{
    return ToolLocationHelper.GetPlatformSDKLocation(arg1, arg2);
}
// Fall back to reflection only when signature doesn't match",Execution time/latency,"Look for profiling result which shows high time spent in reflection APIs (MethodInfo.Invoke, Type.GetMethod), or performance traces indicating reflection-based bottlenecks in hot paths"
Code Smells and Structural Simplification,Remove long method by extracting new method,Methods with more than 10 lines are considered long methods. A long method is one with too many variables and functionalities.,"If a method is found to be too long, extract a portion of the code to a new method and call it from inside the old method. ",Promotes code reuse indirectly leading to lower energy consumption,"Look for methods greater than 10 lines in length, and/or methods with large numbers of variables."
Code Smells and Structural Simplification,Remove duplicate code,"If the same code is found in multiple places, remove the duplicates.","If duplicate code is found within source code, extract to a new method. Remove the duplicate code and call the new method.",Promotes code reuse indirectly leading to lower energy consumption,Look for duplicated code that can be extracted to it's own method.
Code Smells and Structural Simplification,Minimize feature envy by moving methods,"Feature envy is when one object accesses data of another object more than its own. If an object exhibits this, consider moving the method which accesses the data to the class where the data is being held. If only part of the method accesses the data, then extract that part and place it in a new method in the class where the data is held.","Code Before Optimization:
class Order {
    Customer customer;

    public String getCustomerInfo() {
        return customer.getName() + "", "" + customer.getAddress();
    }
}

Code After Optimization:
class Customer {
    private String name;
    private String address;

    public String getInfo() {
        return name + "", "" + address;
    }
}

class Order {
    Customer customer;

    public String getCustomerInfo() {
        return customer.getInfo();
    }
}","Reduce indirection, possibly leading to reduced latency and energy savings",Look for methods that primarily use another classes methods.
Code Smells and Structural Simplification,Minimize occurrences of God Class,A God Class is when an object from a class knows too much or does too much. This leads to tighly coupled functionality and should be minimized.,"If a God Class is found, minimize it by extracting fields and moving functionality to separate model classes.","Decouple functionality, possibly leading to energy savings",Look for large classes that don't follow any specific design pattern.
Code Smells and Structural Simplification,Type Checking,The type checking code smell is when a class uses if-else or switch statements to behave differently based on type value.,"Replace type code with state or strategy refactoring. Essentially each type becomes its own subclass or strategy implementation.

Code Before Optimization:
class Shape {
    public static final int CIRCLE = 1;
    public static final int RECTANGLE = 2;
    
    int type;

    public double area() {
        switch (type) {
            case CIRCLE:
                return Math.PI * 10 * 10;
            case RECTANGLE:
                return 20 * 30;
            default:
                throw new IllegalArgumentException(""Unknown shape type"");
        }
    }
}

Code After Optimization:
interface Shape {
    double area();
}

class Circle implements Shape {
    public double area() {
        return Math.PI * 10 * 10;
    }
}

class Rectangle implements Shape {
    public double area() {
        return 20 * 30;
    }
}
","Reduces duplication, possible leading to energy savings",Look for type checking in classes that resembles pattern matching.
Build & Compilation & Infrastructure Optimization,Enable Build-Time Optimizations,"Use explicit and unambiguous module references (e.g., including file extensions or fully qualified paths) to help build tools resolve dependencies deterministically, enabling stronger tree-shaking, dead-code elimination, and smaller optimized outputs. This reduces resolver overhead and gives compilers/bundlers clearer information to perform aggressive build-time optimizations.","

Modern bundlers (ESBuild, Webpack, Rollup, TS→JS compilers) perform more aggressive tree-shaking and module pruning when imports include explicit file extensions. This avoids fallback resolution steps, reduces ambiguity, and allows the bundler to optimize dependency graphs more effectively.

// Before:
import { foo } from ""../core/utils""

// After:
import { foo } from ""../core/utils.js""",Faster build times,"Identify import or dependency paths that rely on implicit resolution (missing extensions, ambiguous directory indexes, or fallback resolution rules) in projects using bundlers or compilers where making the paths explicit enables improved tree-shaking, dead-code elimination, or smaller build artifacts."
Build & Compilation & Infrastructure Optimization,Performance-Optimized Dependency Selection,"Upgrade libraries, frameworks, or dependencies to newer versions that provide better performance defaults, faster build pipelines, improved runtime behavior, or more efficient tooling. Modern versions often deliver optimized compilers, reduced overhead, and improved architectures that directly enhance system performance.","

Upgraded Tailwind v3→v4 to leverage its faster compiler, native Vite integration, and simplified CSS-based config, resulting in a more efficient build pipeline and improved performance.","Faster build time, runtime","Apply this pattern whenever newer dependency versions provide measurable performance gains, simplify or modernize the build pipeline, or replace outdated tooling with faster, more efficient alternatives."
Build & Compilation & Infrastructure Optimization,Compiler Optimization Hints/Directives,"Developers provide explicit hints to the compiler—such as inlining directives, branch prediction hints, loop unrolling pragmas—to guide low-level code generation. These directives help the compiler optimize hot paths that static analysis cannot reliably infer.","
Before
public int Add(int a, int b)
{
    return a + b;
}

After (Using Directive)
[MethodImpl(MethodImplOptions.AggressiveInlining)]
public int Add(int a, int b)
{
    return a + b;
}","Latency, Throughput, CPU cycles, Instruction-level efficiency","Use compiler directives when A function lies on a verified hot path, Compiler heuristics are insufficient, or Inlining enables further optimizations, such as constant propagation or dead code elimination. These hints should only be applied after profiling has confirmed a true bottleneck. Overuse can increase code size and hurt I-cache performance."
Build & Compilation & Infrastructure Optimization,Reduce rebuilding size,"Reducing rebuild size means organizing a project so that small changes trigger minimal recompilation or regeneration. By isolating frequently edited components, splitting large modules, and caching intermediate outputs, the build system avoids rebuilding everything and only updates what actually changed.","Before:
def build():
    compile_module(""core.py"")
    compile_module(""utils.py"")
    compile_module(""ui.py"")
    package()

After:
def build():
    rebuild_if_changed(""core.py"")
    rebuild_if_changed(""utils.py"")
    rebuild_if_changed(""ui.py"")
    package()
","Faster build times, Smaller build size",Changes in configuration related with build
Build & Compilation & Infrastructure Optimization,Enable Lazy loading for resource ,"Enabling lazy loading means deferring the loading of a resource until the moment it is actually needed. Instead of allocating memory or performing expensive initialization upfront, the system loads the resource on demand. This reduces startup cost and overall resource usage.","Before:
class ImageProcessor:
    def __init__(self, path):
        self.data = load_image(path)

def load_image(path):
    print(""loading"", path)
    return open(path, ""rb"").read()

After:
class LazyImageProcessor:
    def __init__(self, path):
        self.path = path
        self._data = None

    @property
    def data(self):
        if self._data is None:
            print(""loading"", self.path)
            self._data = open(self.path, ""rb"").read()
        return self._data
",Memory allocation,"Adding Lazy in a frontend environment, Delaying load of objects in memory"
"Network, Database, and Data Access Optimization",Batch API Requests (N+1),"The N+1 query problem occurs when code makes one initial query to retrieve a list of items, then executes N additional queries (one per item) to fetch related data. This results in N+1 total queries instead of a constant number. The solution is to batch or consolidate these queries into a single request or a small number of bulk requests that fetch all required data at once. This pattern applies to database queries, API calls, and any scenario where individual requests can be aggregated.","The initial implementation executed one query to get all users, then N additional queries (one per user) to fetch their orders, causing severe performance degradation with large datasets. The optimization batched the order queries into a single query using a JOIN or IN clause, reducing query count from N+1 to 2 (or even 1 with a proper JOIN), significantly improving response time and reducing database load.

Code Before Optimization:
// Fetch all users
const users = await db.query('SELECT * FROM users WHERE active = true');

// N+1 problem: one query per user for their orders
for (const user of users) {
  user.orders = await db.query(
    'SELECT * FROM orders WHERE user_id = ?', 
    [user.id]
  );
}
return users;

Code After Optimization:
// Fetch all users
const users = await db.query('SELECT * FROM users WHERE active = true');
const userIds = users.map(u => u.id);

// Batch query: single query for all orders
const orders = await db.query(
  'SELECT * FROM orders WHERE user_id IN (?)',
  [userIds]
);

// Group orders by user_id in memory
const ordersByUser = orders.reduce((acc, order) => {
  acc[order.user_id] = acc[order.user_id] || [];
  acc[order.user_id].push(order);
  return acc;
}, {});

// Assign orders to users
users.forEach(user => {
  user.orders = ordersByUser[user.id] || [];
});

return users;
","latency, throughput","Look for loops containing database queries or API calls where the query count grows linearly with input size (N items → N+1 requests), identifiable through query logging, APM tools showing repeated similar queries with different parameters, or profiling that reveals database/network time dominating request latency."
"Network, Database, and Data Access Optimization",Minimize Payload Size / Pass Reference Instead of Value,"When transferring data between systems, services, or components, avoid embedding large objects or datasets directly in requests or messages. Instead, pass lightweight references (IDs, URLs, keys) and allow the recipient to fetch the full data only when needed. This reduces payload size, network bandwidth consumption, and serialization/deserialization overhead. This pattern is especially effective when the recipient may not need all the data or when the same large object is referenced multiple times.","
The initial implementation eagerly embedded complete related objects (including their sub-relationships) in every response, resulting in megabyte-sized payloads even for simple queries. By switching to passing only IDs/references for related entities, payload sizes dropped by 90%, reducing network transfer time, serialization costs, and client-side parsing overhead. Clients can now selectively fetch related data only when needed via separate endpoints.


Code Before Optimization:
// Returns 500KB+ with all nested relationships
interface UserResponse {
  id: string;
  name: string;
  posts: Post[];           // Full post objects (50KB each)
  followers: User[];       // Full nested user objects
  following: User[];       // Full nested user objects
}

const user = await db.users.findOne({
  where: { id: req.params.id },
  include: [Post, { model: User, as: 'followers' }, { model: User, as: 'following' }]
});
res.json(user);  // Massive payload

Code After Optimization:
// Returns 2KB with just IDs
interface UserResponse {
  id: string;
  name: string;
  postIds: string[];       // Just IDs (100 bytes)
  followerIds: string[];   // Just IDs
  followingIds: string[];  // Just IDs
}

const user = await db.users.findOne({
  where: { id: req.params.id },
  attributes: ['id', 'name']
});

const postIds = await db.posts.findAll({
  where: { userId: user.id },
  attributes: ['id']
}).map(p => p.id);

res.json({ ...user, postIds, followerIds, followingIds });  // Minimal payload","payload size, network bandwidth, latency, memory,  cache efficiency","Look for API responses or messages with large payload sizes (>100KB), nested objects with multiple levels of depth, repeated embedded objects that could be referenced by ID, or performance traces showing significant time spent in serialization/deserialization and network transfer."
"Network, Database, and Data Access Optimization",Lazy Loading / Deferred Initialization,"Defer fetching, loading, or constructing data and resources until they are actually needed. Instead of eagerly retrieving large datasets, performing expensive parsing/decompression, or allocating heavy data structures upfront, shift this work to the point of first use. This reduces startup cost, network and I/O overhead, peak memory usage, and avoids performing work for data that may never be accessed.","Example 1 – Lazy Data Fetching (Network/DB)
// Before: Eager loading
const allItems = await fetchAllItems();  // 10,000 items

// After: Lazy loading
const currentItem = await fetchItem(currentIndex);  // 1 item

Example 2 – Deferred Local Initialization (Data Access / Internal Loading)
# Before: eager parsing, decompression, and allocation
reg = RegistryInstance(... fully loaded ...)

# After: lazy initialization triggered on property access
reg = RegistryInstance(path, tree_info, compressed_file)

@inline function Base.getproperty(r::RegistryInstance, f::Symbol)
    if f in (:pkgs, :name, :uuid)
        isdefined(r, :pkgs) || _ensure_registry_loaded_slow!(r)
    end
    getfield(r, f)
end
","Initial load time, payload size, Bandwidth usage","Apply when: 
API responses contain large arrays/lists;
Most fetched data is never accessed by users;
High ""Time to Interactive"" metrics;
Large initial bundle/payload size;
Analytics show users view <10% of fetched data."
"Network, Database, and Data Access Optimization", Relational Query Consolidation (N+1),"Replace multiple sequential queries that traverse relationships with a single query that uses relational operations (JOINs, subqueries, or includes) to fetch related data together, eliminating separate round-trips by leveraging the database's ability to perform set-based operations.","// Before: N+1
const user = await prisma.user.findUnique({ where: { id } });
const posts = await user.posts();

// After: Consolidation
const user = await prisma.user.findUnique({
  where: { id },
  include: { posts: true }
});","Latency, Throughput, CPU/IO Utilization","Flag code that issues repeated queries inside a loop when traversing related objects, or when ORM logs show many nearly identical SELECT statements differing only by a foreign key. This indicates a classic N+1 pattern that can be consolidated into a single relational query."
